,Name,Price,Rating
93,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
94,Rip it Up and Start Again,35.02,Five
95,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
96,Olio,23.88,One
97,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
98,Libertarianism for Beginners,51.33,Two
99,It's Only the Himalayas,45.17,Two
100,A Light in the Attic,51.77,Three
101,Tipping the Velvet,53.74,One
102,Soumission,50.1,One
103,Sharp Objects,47.82,Four
104,Sapiens: A Brief History of Humankind,54.23,Five
105,The Requiem Red,22.65,One
106,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
107,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
108,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
109,The Black Maria,52.15,One
110,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
111,Shakespeare's Sonnets,20.66,Four
112,Set Me Free,17.46,Five
113,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
114,Rip it Up and Start Again,35.02,Five
115,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
116,Olio,23.88,One
117,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
118,Libertarianism for Beginners,51.33,Two
119,It's Only the Himalayas,45.17,Two
120,A Light in the Attic,51.77,Three
121,Tipping the Velvet,53.74,One
122,Soumission,50.1,One
123,Sharp Objects,47.82,Four
124,Sapiens: A Brief History of Humankind,54.23,Five
125,The Requiem Red,22.65,One
126,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
127,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
128,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
129,The Black Maria,52.15,One
130,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
131,Shakespeare's Sonnets,20.66,Four
132,Set Me Free,17.46,Five
133,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
134,Rip it Up and Start Again,35.02,Five
135,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
136,Olio,23.88,One
137,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
138,Libertarianism for Beginners,51.33,Two
139,It's Only the Himalayas,45.17,Two
140,A Light in the Attic,51.77,Three
141,Tipping the Velvet,53.74,One
142,Soumission,50.1,One
143,Sharp Objects,47.82,Four
144,Sapiens: A Brief History of Humankind,54.23,Five
145,The Requiem Red,22.65,One
146,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
147,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
148,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
149,The Black Maria,52.15,One
150,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
151,Shakespeare's Sonnets,20.66,Four
152,Set Me Free,17.46,Five
153,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
154,Rip it Up and Start Again,35.02,Five
155,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
156,Olio,23.88,One
157,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
158,Libertarianism for Beginners,51.33,Two
159,It's Only the Himalayas,45.17,Two
160,A Light in the Attic,51.77,Three
161,Tipping the Velvet,53.74,One
162,Soumission,50.1,One
163,Sharp Objects,47.82,Four
164,Sapiens: A Brief History of Humankind,54.23,Five
165,The Requiem Red,22.65,One
166,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
167,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
168,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
169,The Black Maria,52.15,One
170,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
171,Shakespeare's Sonnets,20.66,Four
172,Set Me Free,17.46,Five
173,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
174,Rip it Up and Start Again,35.02,Five
175,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
176,Olio,23.88,One
177,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
178,Libertarianism for Beginners,51.33,Two
179,It's Only the Himalayas,45.17,Two
180,A Light in the Attic,51.77,Three
181,Tipping the Velvet,53.74,One
182,Soumission,50.1,One
183,Sharp Objects,47.82,Four
184,Sapiens: A Brief History of Humankind,54.23,Five
185,The Requiem Red,22.65,One
186,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
187,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
188,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
189,The Black Maria,52.15,One
190,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
191,Shakespeare's Sonnets,20.66,Four
192,Set Me Free,17.46,Five
193,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
194,Rip it Up and Start Again,35.02,Five
195,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
196,Olio,23.88,One
197,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
198,Libertarianism for Beginners,51.33,Two
199,It's Only the Himalayas,45.17,Two
200,A Light in the Attic,51.77,Three
201,Tipping the Velvet,53.74,One
202,Soumission,50.1,One
203,Sharp Objects,47.82,Four
204,Sapiens: A Brief History of Humankind,54.23,Five
205,The Requiem Red,22.65,One
206,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
207,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
208,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
209,The Black Maria,52.15,One
210,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
211,Shakespeare's Sonnets,20.66,Four
212,Set Me Free,17.46,Five
213,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
214,Rip it Up and Start Again,35.02,Five
215,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
216,Olio,23.88,One
217,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
218,Libertarianism for Beginners,51.33,Two
219,It's Only the Himalayas,45.17,Two
220,A Light in the Attic,51.77,Three
221,Tipping the Velvet,53.74,One
222,Soumission,50.1,One
223,Sharp Objects,47.82,Four
224,Sapiens: A Brief History of Humankind,54.23,Five
225,The Requiem Red,22.65,One
226,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
227,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
228,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
229,The Black Maria,52.15,One
230,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
231,Shakespeare's Sonnets,20.66,Four
232,Set Me Free,17.46,Five
233,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
234,Rip it Up and Start Again,35.02,Five
235,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
236,Olio,23.88,One
237,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
238,Libertarianism for Beginners,51.33,Two
239,It's Only the Himalayas,45.17,Two
240,A Light in the Attic,51.77,Three
241,Tipping the Velvet,53.74,One
242,Soumission,50.1,One
243,Sharp Objects,47.82,Four
244,Sapiens: A Brief History of Humankind,54.23,Five
245,The Requiem Red,22.65,One
246,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
247,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
248,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
249,The Black Maria,52.15,One
250,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
251,Shakespeare's Sonnets,20.66,Four
252,Set Me Free,17.46,Five
253,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
254,Rip it Up and Start Again,35.02,Five
255,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
256,Olio,23.88,One
257,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
258,Libertarianism for Beginners,51.33,Two
259,It's Only the Himalayas,45.17,Two
260,A Light in the Attic,51.77,Three
261,Tipping the Velvet,53.74,One
262,Soumission,50.1,One
263,Sharp Objects,47.82,Four
264,Sapiens: A Brief History of Humankind,54.23,Five
265,The Requiem Red,22.65,One
266,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
267,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
268,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
269,The Black Maria,52.15,One
270,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
271,Shakespeare's Sonnets,20.66,Four
272,Set Me Free,17.46,Five
273,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
274,Rip it Up and Start Again,35.02,Five
275,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
276,Olio,23.88,One
277,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
278,Libertarianism for Beginners,51.33,Two
279,It's Only the Himalayas,45.17,Two
280,A Light in the Attic,51.77,Three
281,Tipping the Velvet,53.74,One
282,Soumission,50.1,One
283,Sharp Objects,47.82,Four
284,Sapiens: A Brief History of Humankind,54.23,Five
285,The Requiem Red,22.65,One
286,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
287,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
288,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
289,The Black Maria,52.15,One
290,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
291,Shakespeare's Sonnets,20.66,Four
292,Set Me Free,17.46,Five
293,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
294,Rip it Up and Start Again,35.02,Five
295,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
296,Olio,23.88,One
297,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
298,Libertarianism for Beginners,51.33,Two
299,It's Only the Himalayas,45.17,Two
300,A Light in the Attic,51.77,Three
301,Tipping the Velvet,53.74,One
302,Soumission,50.1,One
303,Sharp Objects,47.82,Four
304,Sapiens: A Brief History of Humankind,54.23,Five
305,The Requiem Red,22.65,One
306,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
307,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
308,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
309,The Black Maria,52.15,One
310,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
311,Shakespeare's Sonnets,20.66,Four
312,Set Me Free,17.46,Five
313,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
314,Rip it Up and Start Again,35.02,Five
315,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
316,Olio,23.88,One
317,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
318,Libertarianism for Beginners,51.33,Two
319,It's Only the Himalayas,45.17,Two
320,A Light in the Attic,51.77,Three
321,Tipping the Velvet,53.74,One
322,Soumission,50.1,One
323,Sharp Objects,47.82,Four
324,Sapiens: A Brief History of Humankind,54.23,Five
325,The Requiem Red,22.65,One
326,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
327,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
328,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
329,The Black Maria,52.15,One
330,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
331,Shakespeare's Sonnets,20.66,Four
332,Set Me Free,17.46,Five
333,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
334,Rip it Up and Start Again,35.02,Five
335,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
336,Olio,23.88,One
337,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
338,Libertarianism for Beginners,51.33,Two
339,It's Only the Himalayas,45.17,Two
340,A Light in the Attic,51.77,Three
341,Tipping the Velvet,53.74,One
342,Soumission,50.1,One
343,Sharp Objects,47.82,Four
344,Sapiens: A Brief History of Humankind,54.23,Five
345,The Requiem Red,22.65,One
346,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
347,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
348,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
349,The Black Maria,52.15,One
350,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
351,Shakespeare's Sonnets,20.66,Four
352,Set Me Free,17.46,Five
353,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
354,Rip it Up and Start Again,35.02,Five
355,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
356,Olio,23.88,One
357,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
358,Libertarianism for Beginners,51.33,Two
359,It's Only the Himalayas,45.17,Two
360,A Light in the Attic,51.77,Three
361,Tipping the Velvet,53.74,One
362,Soumission,50.1,One
363,Sharp Objects,47.82,Four
364,Sapiens: A Brief History of Humankind,54.23,Five
365,The Requiem Red,22.65,One
366,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
367,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
368,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
369,The Black Maria,52.15,One
370,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
371,Shakespeare's Sonnets,20.66,Four
372,Set Me Free,17.46,Five
373,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
374,Rip it Up and Start Again,35.02,Five
375,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
376,Olio,23.88,One
377,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
378,Libertarianism for Beginners,51.33,Two
379,It's Only the Himalayas,45.17,Two
380,A Light in the Attic,51.77,Three
381,Tipping the Velvet,53.74,One
382,Soumission,50.1,One
383,Sharp Objects,47.82,Four
384,Sapiens: A Brief History of Humankind,54.23,Five
385,The Requiem Red,22.65,One
386,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
387,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
388,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
389,The Black Maria,52.15,One
390,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
391,Shakespeare's Sonnets,20.66,Four
392,Set Me Free,17.46,Five
393,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
394,Rip it Up and Start Again,35.02,Five
395,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
396,Olio,23.88,One
397,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
398,Libertarianism for Beginners,51.33,Two
399,It's Only the Himalayas,45.17,Two
400,A Light in the Attic,51.77,Three
401,Tipping the Velvet,53.74,One
402,Soumission,50.1,One
403,Sharp Objects,47.82,Four
404,Sapiens: A Brief History of Humankind,54.23,Five
405,The Requiem Red,22.65,One
406,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
407,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
408,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
409,The Black Maria,52.15,One
410,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
411,Shakespeare's Sonnets,20.66,Four
412,Set Me Free,17.46,Five
413,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
414,Rip it Up and Start Again,35.02,Five
415,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
416,Olio,23.88,One
417,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
418,Libertarianism for Beginners,51.33,Two
419,It's Only the Himalayas,45.17,Two
420,A Light in the Attic,51.77,Three
421,Tipping the Velvet,53.74,One
422,Soumission,50.1,One
423,Sharp Objects,47.82,Four
424,Sapiens: A Brief History of Humankind,54.23,Five
425,The Requiem Red,22.65,One
426,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
427,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
428,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
429,The Black Maria,52.15,One
430,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
431,Shakespeare's Sonnets,20.66,Four
432,Set Me Free,17.46,Five
433,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
434,Rip it Up and Start Again,35.02,Five
435,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
436,Olio,23.88,One
437,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
438,Libertarianism for Beginners,51.33,Two
439,It's Only the Himalayas,45.17,Two
440,A Light in the Attic,51.77,Three
441,Tipping the Velvet,53.74,One
442,Soumission,50.1,One
443,Sharp Objects,47.82,Four
444,Sapiens: A Brief History of Humankind,54.23,Five
445,The Requiem Red,22.65,One
446,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
447,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
448,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
449,The Black Maria,52.15,One
450,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
451,Shakespeare's Sonnets,20.66,Four
452,Set Me Free,17.46,Five
453,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
454,Rip it Up and Start Again,35.02,Five
455,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
456,Olio,23.88,One
457,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
458,Libertarianism for Beginners,51.33,Two
459,It's Only the Himalayas,45.17,Two
460,A Light in the Attic,51.77,Three
461,Tipping the Velvet,53.74,One
462,Soumission,50.1,One
463,Sharp Objects,47.82,Four
464,Sapiens: A Brief History of Humankind,54.23,Five
465,The Requiem Red,22.65,One
466,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
467,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
468,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
469,The Black Maria,52.15,One
470,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
471,Shakespeare's Sonnets,20.66,Four
472,Set Me Free,17.46,Five
473,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
474,Rip it Up and Start Again,35.02,Five
475,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
476,Olio,23.88,One
477,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
478,Libertarianism for Beginners,51.33,Two
479,It's Only the Himalayas,45.17,Two
480,A Light in the Attic,51.77,Three
481,Tipping the Velvet,53.74,One
482,Soumission,50.1,One
483,Sharp Objects,47.82,Four
484,Sapiens: A Brief History of Humankind,54.23,Five
485,The Requiem Red,22.65,One
486,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
487,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
488,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
489,The Black Maria,52.15,One
490,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
491,Shakespeare's Sonnets,20.66,Four
492,Set Me Free,17.46,Five
493,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
494,Rip it Up and Start Again,35.02,Five
495,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
496,Olio,23.88,One
497,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
498,Libertarianism for Beginners,51.33,Two
499,It's Only the Himalayas,45.17,Two
500,A Light in the Attic,51.77,Three
501,Tipping the Velvet,53.74,One
502,Soumission,50.1,One
503,Sharp Objects,47.82,Four
504,Sapiens: A Brief History of Humankind,54.23,Five
505,The Requiem Red,22.65,One
506,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
507,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
508,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
509,The Black Maria,52.15,One
510,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
511,Shakespeare's Sonnets,20.66,Four
512,Set Me Free,17.46,Five
513,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
514,Rip it Up and Start Again,35.02,Five
515,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
516,Olio,23.88,One
517,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
518,Libertarianism for Beginners,51.33,Two
519,It's Only the Himalayas,45.17,Two
520,A Light in the Attic,51.77,Three
521,Tipping the Velvet,53.74,One
522,Soumission,50.1,One
523,Sharp Objects,47.82,Four
524,Sapiens: A Brief History of Humankind,54.23,Five
525,The Requiem Red,22.65,One
526,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
527,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
528,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
529,The Black Maria,52.15,One
530,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
531,Shakespeare's Sonnets,20.66,Four
532,Set Me Free,17.46,Five
533,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
534,Rip it Up and Start Again,35.02,Five
